PT,TM,CPG,CPHL,CPWT,DROGDP,DROGDT,DROHLDP,DROHLDT,DROWTDP,DROWTDT,HG,HHL,HWT,ROG,ROHL,ROWT,RS,RSW,SEG,SEHL,SEWT,SIGGHL,SIGGWT,SIGHLWT,TCG,TCHL,TCWT,VISG,VISHL,VISWT
3700000.0,186.7,2589.03573,2687.86383,4762.25541,6.3537e-06,-0.05700411,3.23935e-06,-0.85091943,6.9236e-07,-1.1777446,331866.299,82713.792,-1743063.4,23.0024795,742.345874,892.304764,0.044544543,0.012157912,-87.387886,499.62679,-4747.8263,0.007968337,0.044928549,0.036960212,0.058456527,0.143194514,0.639811788,1.65712e-05,0.000929775,0.000156911
4110000.0,186.7,2604.50146,2688.83809,4759.37369,6.2704e-06,-0.06301951,3.24978e-06,-0.85342329,6.90568e-07,-1.174761,330773.055,83224.3462,-1742882.5,25.2107137,740.03218,892.588263,0.04212173,0.012296745,-149.89594,497.653037,-4748.4318,0.007346302,0.044928549,0.037582248,0.058733049,0.142073236,0.640311948,1.66575e-05,0.000919236,0.000157029
4520000.0,186.7,2619.2682,2689.80152,4756.50678,6.2006e-06,-0.06910464,3.25902e-06,-0.85569803,6.88785e-07,-1.1717909,329576.359,83744.911,-1742700.8,27.4154713,737.774982,892.87103,0.039871423,0.012400292,-206.96616,495.616756,-4749.0354,0.00676684,0.044928549,0.038161709,0.059011471,0.141049787,0.640811381,1.67422e-05,0.000909436,0.000157147
4930000.0,186.7,2633.45152,2690.75797,4753.65454,6.14106e-06,-0.07525973,3.26729e-06,-0.8577848,6.87011e-07,-1.1688342,328298.982,84273.5183,-1742518.3,29.6183381,735.560303,893.153068,0.037749721,0.012475522,-259.41552,493.517682,-4749.6371,0.006227508,0.044928549,0.038701041,0.059294766,0.140111885,0.641310091,1.68261e-05,0.000900223,0.000157264
5340000.0,186.7,2647.13752,2691.71022,4750.81686,6.08944e-06,-0.081484,3.27475e-06,-0.85971347,6.85247e-07,-1.1658908,326958.173,84808.7824,-1742335.2,31.8204671,733.378092,893.434381,0.035725204,0.01252771,-307.88898,491.356071,-4750.2369,0.005725994,0.044928549,0.039202555,0.059584782,0.139250083,0.641808081,1.69098e-05,0.000891479,0.000157381
5750000.0,186.7,2660.39147,2692.66035,4747.99362,6.04403e-06,-0.08777593,3.28153e-06,-0.86150631,6.83493e-07,-1.1629606,325567.244,85349.7008,-1742151.3,34.0227139,731.22091,893.714972,0.033774709,0.012560926,-352.90407,489.132426,-4750.8348,0.005260089,0.044928549,0.03966846,0.059882652,0.138456878,0.642305355,1.69939e-05,0.000883098,0.000157497
6160000.0,186.7,2673.26357,2693.60998,4745.1847,6.00354e-06,-0.09413351,3.28771e-06,-0.86318034,6.81747e-07,-1.1600436,324136.644,85895.5314,-1741966.7,36.2257222,729.083118,893.994846,0.031880713,0.012578366,-394.88199,486.847354,-4751.4308,0.004827674,0.044928549,0.040100875,0.060189053,0.137726141,0.642801916,1.70785e-05,0.000874975,0.000157613
6570000.0,186.7,2685.79292,2694.56037,4742.38998,5.96697e-06,-0.10055434,3.29337e-06,-0.86474881,6.80011e-07,-1.1571395,322674.687,86445.714,-1741781.4,38.4299827,726.960356,894.274007,0.030029655,0.012582576,-434.16987,484.501483,-4752.025,0.004426718,0.044928549,0.040501832,0.060504354,0.137052759,0.643297767,1.71639e-05,0.000867,0.000157728
6980000.0,186.7,2698.01029,2695.51253,4739.60934,5.93355e-06,-0.10703572,3.29857e-06,-0.86622224,6.78284e-07,-1.1542483,321188.082,86999.8186,-1741595.3,40.6358725,724.849187,894.552457,0.028210826,0.012575612,-471.05695,482.095418,-4752.6173,0.004055273,0.044928549,0.040873276,0.06082872,0.136432379,0.643792912,1.72503e-05,0.000859051,0.000157842
7390000.0,186.7,2709.94014,2696.4673,4736.84268,5.90268e-06,-0.11357476,3.30334e-06,-0.86760907,6.76565e-07,-1.15137,319682.299,87557.5111,-1741408.6,42.8436834,722.74686,894.8302,0.026415611,0.012559152,-505.78661,479.629715,-4753.2078,0.00371148,0.044928549,0.041217069,0.061162169,0.135861239,0.644287353,1.73379e-05,0.000850996,0.000157956
7800000.0,186.7,2721.60205,2697.42538,4734.08987,5.87386e-06,-0.12016838,3.30774e-06,-0.8689162,6.74856e-07,-1.1485043,318161.848,88118.5279,-1741221.2,45.0536429,720.651142,895.107242,0.024636956,0.012534582,-538.56548,477.104868,-4753.7964,0.003393564,0.044928549,0.041534985,0.061504623,0.135336049,0.644781094,1.74267e-05,0.000842703,0.00015807
8210000.0,186.7,2733.01183,2698.38735,4731.35081,5.8467e-06,-0.12681337,3.31178e-06,-0.87014933,6.73156e-07,-1.1456513,316630.477,88682.66,-1741033.0,47.2659291,718.560199,895.383584,0.022868996,0.012503052,-569.57037,474.521304,-4754.3832,0.003099837,0.044928549,0.041828712,0.061855932,0.134853892,0.645274138,1.75169e-05,0.00083405,0.000158183
8620000.0,186.7,2744.1823,2699.35373,4728.62538,5.82087e-06,-0.13350644,3.31551e-06,-0.8713132,6.71464e-07,-1.1428107,315091.328,89249.7395,-1740844.2,49.4806826,716.472501,895.65923,0.02110678,0.01246553,-598.95366,471.879384,-4754.9682,0.002828695,0.044928549,0.042099854,0.062215896,0.134412164,0.645766488,1.76086e-05,0.000824943,0.000158295
9030000.0,186.7,2755.12393,2700.32495,4725.91348,5.79612e-06,-0.14024421,3.31893e-06,-0.87241183,6.69781e-07,-1.1399826,313547.053,89819.6314,-1740654.7,51.6980155,714.386765,895.934185,0.019346064,0.012422831,-626.84754,469.179401,-4755.5514,0.002578621,0.044928549,0.042349928,0.062584282,0.134008517,0.646258147,1.77017e-05,0.000815328,0.000158407
9440000.0,186.7,2765.84531,2701.30141,4723.21499,5.77223e-06,-0.14702329,3.32207e-06,-0.8734486,6.68106e-07,-1.1371668,311999.903,90392.2264,-1740464.5,53.9180184,712.301899,896.208452,0.017583163,0.01237565,-653.36736,466.421583,-4756.1328,0.002348179,0.044928549,0.04258037,0.062960832,0.133640822,0.646749118,1.77965e-05,0.0008052,0.000158518
9850000.0,186.7,2776.35352,2702.28345,4720.52982,5.749e-06,-0.15384024,3.32494e-06,-0.87442645,6.66441e-07,-1.1343632,310451.8,90967.4357,-1740273.6,56.1407666,710.21697,896.482034,0.015814836,0.012324579,-678.61432,463.606098,-4756.7124,0.002136014,0.044928549,0.042792535,0.063345273,0.133307133,0.647239405,1.78928e-05,0.000794603,0.000158629
10260000.0,186.7,2786.65445,2703.2714,4717.85784,5.7263e-06,-0.1606916,3.32757e-06,-0.87534788,6.64783e-07,-1.1315718,308904.391,91545.1875,-1740082.0,58.3663231,708.131166,896.754934,0.01403819,0.012270129,-702.67768,460.73305,-4757.2902,0.001940851,0.044928549,0.042987699,0.063737321,0.133005667,0.64772901,1.79908e-05,0.000783616,0.00015874
10670000.0,186.7,2796.75299,2704.26556,4715.19896,5.704e-06,-0.16757395,3.32996e-06,-0.87621509,6.63134e-07,-1.1287923,307359.093,92125.4239,-1739889.8,60.5947445,706.043781,897.027157,0.012250613,0.01221274,-725.63648,457.802493,-4757.8662,0.001761487,0.044928549,0.043167063,0.064136688,0.132734777,0.648217937,1.80906e-05,0.000772338,0.000158849
11080000.0,186.7,2806.65324,2705.26618,4712.55308,5.68198e-06,-0.17448386,3.33212e-06,-0.87702998,6.61494e-07,-1.1260249,305817.126,92708.0981,-1739696.9,62.8260828,703.954194,897.298705,0.010449724,0.012152791,-747.56101,454.814423,-4758.4405,0.001596794,0.044928549,0.043331756,0.064543083,0.132492939,0.648706187,1.8192e-05,0.000760874,0.000158959
11490000.0,186.7,2816.35866,2706.27354,4709.92009,5.66016e-06,-0.18141794,3.33406e-06,-0.87779426,6.59861e-07,-1.1232693,304279.547,93293.1732,-1739503.3,65.0603881,701.861855,897.569583,0.008633317,0.012090616,-768.51406,451.76879,-4759.013,0.001445713,0.044928549,0.043482836,0.064956215,0.132278736,0.649193766,1.82953e-05,0.000749322,0.000159067
11900000.0,186.7,2825.87219,2707.28787,4707.29989,5.63847e-06,-0.18837285,3.3358e-06,-0.8785094,6.58237e-07,-1.1205254,302747.269,93880.6202,-1739309.0,67.2977116,699.766269,897.839793,0.006799335,0.012026502,-788.55187,448.665493,-4759.5838,0.001307252,0.044928549,0.043621297,0.065375797,0.132090846,0.649680674,1.84004e-05,0.000737762,0.000159176
12310000.0,186.7,2835.19635,2708.30942,4704.69238,5.61684e-06,-0.19534528,3.33733e-06,-0.87917674,6.56621e-07,-1.1177933,301221.082,94470.4174,-1739114.1,69.5381064,697.666992,898.109339,0.004945834,0.011960703,-807.72502,445.504385,-4760.1528,0.001180481,0.044928549,0.043748068,0.065801548,0.13192803,0.650166915,1.85073e-05,0.000726258,0.000159283
12720000.0,186.7,2844.33331,2709.3384,4702.09747,5.59522e-06,-0.20233201,3.33868e-06,-0.87979745,6.55014e-07,-1.1150727,299701.666,95062.5484,-1738918.6,71.7816307,695.563624,898.378224,0.003070962,0.01189344,-826.07909,442.285279,-4760.7202,0.00106453,0.044928549,0.043864019,0.066233189,0.131789129,0.650652493,1.86162e-05,0.000714853,0.00015939
