,Compressor suction pressure (barg)
2021-08-06 20:09:00,2.6633350160266263
2021-08-06 20:10:00,2.651944496969047
2021-08-06 20:11:00,2.631808004448359
2021-08-06 20:12:00,2.6643626491594583
2021-08-06 20:13:00,2.66599385575434
2021-08-06 20:14:00,2.6398927434986836
2021-08-06 20:15:00,2.651596048242929
2021-08-06 20:16:00,2.6927865383213185
2021-08-06 20:17:00,2.680680322916478
2021-08-06 20:18:00,2.5559804881107513
2021-08-06 20:19:00,2.578703502011659
2021-08-06 20:20:00,2.6567380715194933
2021-08-06 20:21:00,2.73347525805207
2021-08-06 20:22:00,2.7524771718027856
2021-08-06 20:23:00,2.723174978539732
2021-08-06 20:24:00,2.6752196462894964
2021-08-06 20:25:00,2.665212226350419
2021-08-06 20:26:00,2.7132813921205834
