,Volumetric flow rate (m3/h)
2021-05-10 00:58:53.429,42712.49609375
2021-05-10 00:59:03.404,42857.2578125
2021-05-10 00:59:13.835,42456.58984375
2021-05-10 00:59:23.787,43582.5078125
2021-05-10 00:59:33.748,42902.79296875
2021-05-10 00:59:43.726,43029.85546875
2021-05-10 00:59:53.684,43177.58203125
2021-05-10 01:00:04.632,42941.1796875
2021-05-10 01:00:14.586,43036.1796875
2021-05-10 01:00:24.550,43452.0703125
2021-05-10 01:00:34.512,43563.546875
2021-05-10 01:00:44.471,43073.8828125
2021-05-10 01:00:54.430,43798.6953125
2021-05-10 01:01:05.410,43080.2734375
2021-05-10 01:01:15.855,43275.16796875
2021-05-10 01:01:25.804,43174.33984375
2021-05-10 01:01:36.787,42584.10546875
2021-05-10 01:01:46.755,43472.03515625
2021-05-10 01:01:56.708,43448.90234375
2021-05-10 01:02:06.670,43636.30859375
2021-05-10 01:02:16.616,43034.29296875
2021-05-10 01:02:27.570,43016.79296875
2021-05-10 01:02:37.537,43487.6171875
2021-05-10 01:02:47.498,43277.5390625
2021-05-10 01:02:57.450,43337.26953125
2021-05-10 01:03:07.408,43904.05078125
2021-05-10 01:03:17.867,43306.49609375
2021-05-10 01:03:28.833,42937.34765625
2021-05-10 01:03:38.785,44132.48828125
2021-05-10 01:03:48.751,43319.98046875
2021-05-10 01:03:58.704,43701.06640625
2021-05-10 01:04:08.666,43128.80078125
2021-05-10 01:04:19.625,43176.47265625
2021-05-10 01:04:28.590,43029.9765625
2021-05-10 01:04:39.548,43422.22265625
2021-05-10 01:04:49.523,43276.20703125
2021-05-10 01:04:59.458,43124.20703125
2021-05-10 01:05:09.423,43277.38671875
2021-05-10 01:05:19.409,43694.92578125
2021-05-10 01:05:30.858,43372.04296875
2021-05-10 01:05:40.814,43212.94140625
2021-05-10 01:05:50.782,42921.984375
2021-05-10 01:06:00.739,43363.94921875
2021-05-10 01:06:10.694,43233.10546875
2021-05-10 01:06:21.676,43126.0625
2021-05-10 01:06:31.610,43395.734375
2021-05-10 01:06:41.570,43187.55859375
2021-05-10 01:06:51.533,43896.390625
2021-05-10 01:07:01.489,43274.5234375
2021-05-10 01:07:11.478,42626.359375
2021-05-10 01:07:22.408,43226.27734375
2021-05-10 01:07:32.888,43596.68359375
2021-05-10 01:07:42.827,43042.62890625
2021-05-10 01:07:52.795,43277.9453125
2021-05-10 01:08:02.751,43490.03125
2021-05-10 01:08:12.710,42967.75
2021-05-10 01:08:23.665,43610.21875
2021-05-10 01:08:33.624,43174.265625
2021-05-10 01:08:43.584,43527.046875
2021-05-10 01:08:53.550,43339.32421875
2021-05-10 01:09:03.521,42439.15234375
2021-05-10 01:09:13.478,42635.8203125
2021-05-10 01:09:23.454,42732.0390625
2021-05-10 01:09:34.908,43351.09765625
2021-05-10 01:09:44.867,43465.75390625
2021-05-10 01:09:54.827,42789.51171875
2021-05-10 01:10:04.793,43536.15625
2021-05-10 01:10:14.750,42692.84765625
2021-05-10 01:10:25.697,43165.48828125
2021-05-10 01:10:34.673,43194.32421875
2021-05-10 01:10:45.609,43045.609375
2021-05-10 01:10:55.596,42487.25
2021-05-10 01:11:05.540,42695.296875
2021-05-10 01:11:15.491,42592.53515625
2021-05-10 01:11:26.453,42305.984375
2021-05-10 01:11:36.909,42853.87890625
2021-05-10 01:11:46.872,42907.09375
2021-05-10 01:11:56.837,42711.50390625
2021-05-10 01:12:06.795,42569.70703125
2021-05-10 01:12:16.750,43301.7109375
2021-05-10 01:12:27.705,41922.12890625
2021-05-10 01:12:37.679,42513.234375
2021-05-10 01:12:47.633,43050.19140625
2021-05-10 01:12:57.615,42296.50390625
2021-05-10 01:13:07.571,42951.015625
2021-05-10 01:13:18.520,41983.54296875
2021-05-10 01:13:28.477,42831.45703125
2021-05-10 01:13:37.448,42828.40625
2021-05-10 01:13:48.906,42871.7734375
2021-05-10 01:13:58.868,42738.57421875
2021-05-10 01:14:08.816,42434.0703125
2021-05-10 01:14:19.775,42609.56640625
2021-05-10 01:14:29.745,42773.5
2021-05-10 01:14:39.694,42156.92578125
2021-05-10 01:14:49.657,42161.16796875
2021-05-10 01:14:59.612,42769.04296875
2021-05-10 01:15:08.580,43430.98828125
2021-05-10 01:15:20.537,42299.81640625
2021-05-10 01:15:30.501,42819.4921875
2021-05-10 01:15:40.459,43106.90625
2021-05-10 01:15:50.919,43036.7265625
2021-05-10 01:16:00.864,42521.53125
2021-05-10 01:16:10.828,42861.11328125
2021-05-10 01:16:20.789,42318.9453125
2021-05-10 01:16:31.739,42411.20703125
2021-05-10 01:16:40.717,42368.05078125
2021-05-10 01:16:50.699,42915.44921875
2021-05-10 01:17:00.655,41916.86328125
2021-05-10 01:17:10.616,41902.015625
2021-05-10 01:17:22.568,42366.234375
2021-05-10 01:17:30.545,42520.83203125
2021-05-10 01:17:41.482,41884.59375
2021-05-10 01:17:52.953,42791.38671875
2021-05-10 01:18:01.902,41992.046875
2021-05-10 01:18:12.861,42376.53125
2021-05-10 01:18:22.829,42913.28125
2021-05-10 01:18:33.773,42490.17578125
2021-05-10 01:18:43.753,42691.46484375
2021-05-10 01:18:53.708,42424.36328125
2021-05-10 01:19:02.680,42783.4765625
2021-05-10 01:19:13.625,41882.63671875
2021-05-10 01:19:24.574,42826.5078125
2021-05-10 01:19:34.531,42004.87890625
2021-05-10 01:19:44.495,42168.6953125
2021-05-10 01:19:54.948,43041.67578125
2021-05-10 01:20:03.914,42234.890625
2021-05-10 01:20:14.883,42451.1015625
2021-05-10 01:20:23.828,42394.46875
2021-05-10 01:20:34.808,42908.0390625
2021-05-10 01:20:44.768,42688.48828125
2021-05-10 01:20:54.729,42516.2421875
2021-05-10 01:21:04.692,42271.7265625
2021-05-10 01:21:14.655,43080.41796875
2021-05-10 01:21:25.611,42754.40234375
2021-05-10 01:21:35.565,42411.546875
2021-05-10 01:21:46.027,42828.6484375
2021-05-10 01:21:55.483,42465.17578125
2021-05-10 01:22:06.439,43120.3203125
2021-05-10 01:22:16.412,42903.0390625
2021-05-10 01:22:27.386,42375.75
2021-05-10 01:22:37.319,43096.14453125
2021-05-10 01:22:47.313,42899.79296875
2021-05-10 01:22:57.241,42785.70703125
2021-05-10 01:23:07.241,42661.33203125
2021-05-10 01:23:17.246,43162.21875
2021-05-10 01:23:27.238,42372.23828125
2021-05-10 01:23:38.076,43512.8984375
2021-05-10 01:23:48.033,43231.02734375
2021-05-10 01:23:57.994,43169.90625
2021-05-10 01:24:08.457,43326.30859375
2021-05-10 01:24:19.424,42862.16015625
2021-05-10 01:24:29.402,43107.43359375
2021-05-10 01:24:39.396,43491.234375
2021-05-10 01:24:49.340,43118.8203125
2021-05-10 01:24:59.324,42855.9296875
2021-05-10 01:25:09.253,43355.6640625
2021-05-10 01:25:19.253,42771.7109375
2021-05-10 01:25:30.248,43415.6015625
2021-05-10 01:25:40.110,43459.3046875
2021-05-10 01:25:50.073,42703.2421875
2021-05-10 01:26:00.051,43455.91015625
2021-05-10 01:26:10.481,42973.4296875
2021-05-10 01:26:21.450,43474.34765625
2021-05-10 01:26:31.404,43659.6328125
2021-05-10 01:26:40.391,43065.52734375
2021-05-10 01:26:51.335,43117.15234375
2021-05-10 01:27:01.318,43218.79296875
2021-05-10 01:27:11.248,42849.08203125
2021-05-10 01:27:22.240,42836.64453125
2021-05-10 01:27:32.240,42095.76171875
2021-05-10 01:27:42.221,43036.8515625
2021-05-10 01:27:52.067,43543.30078125
2021-05-10 01:28:02.044,43637.6640625
2021-05-10 01:28:12.501,43232.91796875
